ORDER_ID,CUST_ID,ORDER_DATE,ORDER_TIME,FREIGHT_CHARGES,ORDER_SALESMAN,ORDER_POSTED_DATE,ORDER_SHIP_DATE
1,"10728","2008-11-11 00:00:00.000","2008-11-11 21:47:56.370",7.85,"WE220 ","2008-12-16 00:00:00.000","25/12/08"
2,"13124","2008-01-28 00:00:00.000","2008-01-28 13:13:54.564",7.85,"NE106 ","2008-02-26 00:00:00.000","07/03/08"
3,"12146","2008-04-02 00:00:00.000","2008-04-02 16:33:44.886",7.85,"NW112 ","2008-04-28 00:00:00.000","30/05/08"
4,"13456","2008-08-23 00:00:00.000","2008-08-23 22:47:24.586",7.85,"SC193 ","2008-09-10 00:00:00.000","20/08/08"
5,"11301","2009-03-16 17:47:25.000","2009-03-16 17:47:25.375",7.85,"NE109 ","2009-03-16 17:47:25.000","05/08/09"
7,"11255","2008-11-10 00:00:00.000","2008-11-10 17:43:54.804",7.85,"NE373 ","2008-11-30 00:00:00.000","12/12/08"
8,"11566","2008-10-07 00:00:00.000","2008-10-07 21:33:59.456",7.85,"SE265 ","2008-11-20 00:00:00.000","25/11/08"
9,"11193","2008-01-08 00:00:00.000","2008-01-08 03:13:54.564",7.85,"SW277 ","2008-02-20 00:00:00.000","27/03/08"
10,"11758","2009-03-16 17:47:25.000","2009-03-16 17:47:25.375",7.85,"NE175 ","2009-03-16 17:47:25.000","05/08/09"
12,"12795","2008-09-30 00:00:00.000","2008-09-30 18:57:28.586",27.97,"WE226 ","2008-10-10 00:00:00.000","20/09/08"
13,"13244","2008-03-31 00:00:00.000","2008-03-31 18:57:39.380",23.37,"SW142 ","2008-04-20 00:00:00.000","30/04/08"
14,"12865","2008-09-10 00:00:00.000","2008-09-10 20:27:55.556",6.15,"SE271 ","2008-09-30 00:00:00.000","10/09/08"
15,"10300","2008-08-03 00:00:00.000","2008-08-03 17:27:54.986",16.27,"NE172 ","2008-09-02 00:00:00.000","10/08/08"
17,"11197","2008-03-28 00:00:00.000","2008-03-28 23:58:44.886",11.15,"SC322 ","2008-04-20 00:00:00.000","10/05/08"
18,"12203","2008-08-19 00:00:00.000","2008-08-19 01:34:16.564",11.15,"SE403 ","2008-08-29 00:00:00.000","09/09/08"
19,"10674","2009-03-16 17:47:25.000","2009-03-16 17:47:25.375",11.15,"SW211 ","2009-03-16 17:47:25.000","05/08/09"
21,"12196","2008-11-11 00:00:00.000","2008-11-11 21:47:56.370",11.15,"WE220 ","2008-12-16 00:00:00.000","25/12/08"
22,"10060","2008-03-14 00:00:00.000","2008-03-14 02:22:36.564",11.15,"SW214 ","2008-03-29 00:00:00.000","09/04/08"
23,"10893","2008-10-20 00:00:00.000","2008-10-20 20:07:39.380",11.15,"WE286 ","2008-11-20 00:00:00.000","30/11/08"
24,"13210","2008-02-23 00:00:00.000","2008-02-23 20:47:44.986",11.15,"WE283 ","2008-03-02 00:00:00.000","10/03/08"
26,"13490","2008-08-03 00:00:00.000","2008-08-03 17:27:54.986",11.15,"NE172 ","2008-09-02 00:00:00.000","10/08/08"
27,"11345","2008-06-23 00:00:00.000","2008-06-23 15:29:06.250",11.15,"NC298 ","2008-07-15 00:00:00.000","27/07/08"
28,"10215","2008-06-11 00:00:00.000","2008-06-11 15:36:44.886",13.88,"RP319 ","2008-07-10 00:00:00.000","20/07/08"
29,"11370","2009-03-16 17:47:25.000","2009-03-16 17:47:25.375",18.24,"RP121 ","2009-03-16 17:47:25.000","05/08/09"
30,"11925","2008-07-29 00:00:00.000","2008-07-29 20:59:06.250",11.15,"SC325 ","2008-06-16 00:00:00.000","27/06/08"
31,"12188","2008-12-25 00:00:00.000","2008-12-25 09:32:50.756",13.70,"NW247 ","2009-01-09 00:00:00.000","15/01/09"
32,"12066","2009-03-16 17:47:25.000","2009-03-16 17:47:25.375",19.81,"NE175 ","2009-03-16 17:47:25.000","05/08/09"
33,"10272","2008-11-13 00:00:00.000","2008-11-13 21:59:36.250",22.77,"SC199 ","2008-12-19 00:00:00.000","27/12/08"
34,"12861","2008-04-10 00:00:00.000","2008-04-10 18:36:44.886",23.78,"NW310 ","2008-04-29 00:00:00.000","10/05/08"
35,"11051","2008-09-12 00:00:00.000","2008-09-12 06:11:26.258",6.37,"SE136 ","2008-09-29 00:00:00.000","09/10/08"
36,"10080","2008-11-19 00:00:00.000","2008-11-19 04:34:16.564",24.08,"WE355 ","2008-12-10 00:00:00.000","20/12/08"
37,"11184","2009-03-16 17:47:25.000","2009-03-16 17:47:25.375",18.45,"NE109 ","2009-03-16 17:47:25.000","05/08/09"
38,"12116","2008-01-08 00:00:00.000","2008-01-08 03:13:54.564",8.15,"SW277 ","2008-02-20 00:00:00.000","27/03/08"
40,"13228","2009-03-16 17:47:25.000","2009-03-16 17:47:25.375",16.25,"SC124 ","2009-03-16 17:47:25.000","05/08/09"
41,"12464","2008-01-23 00:00:00.000","2008-01-23 18:23:54.564",68.57,"NC295 ","2008-02-16 00:00:00.000","27/02/08"
42,"11872","2008-08-25 00:00:00.000","2008-08-25 16:39:06.250",26.87,"NC160 ","2008-09-19 00:00:00.000","27/09/08"
43,"12753","2008-01-16 00:00:00.000","2008-01-16 08:13:54.564",23.12,"NC292 ","2008-02-10 00:00:00.000","27/02/08"
44,"11784","2008-11-10 00:00:00.000","2008-11-10 17:43:54.804",33.99,"NE373 ","2008-11-30 00:00:00.000","12/12/08"
46,"10773","2008-01-28 00:00:00.000","2008-01-28 13:13:54.564",13.70,"NE106 ","2008-02-26 00:00:00.000","07/03/08"
47,"11019","2008-06-01 00:00:00.000","2008-06-01 16:58:44.886",13.70,"NC361 ","2008-07-20 00:00:00.000","30/07/08"
48,"12157","2008-11-03 00:00:00.000","2008-11-03 08:44:16.564",13.70,"NE178 ","2008-12-01 00:00:00.000","20/12/08"
49,"10224","2008-11-12 00:00:00.000","2008-12-12 03:19:56.145",13.70,"SE139 ","2009-01-23 00:00:00.000","03/02/09"
50,"10702","2008-01-06 00:00:00.000","2008-01-06 18:23:54.564",13.70,"NW118 ","2008-01-26 00:00:00.000","07/02/08"
