MOVIE_EARNINGS_RANK;MOVIE_GENRE;MOVIE_NAME;MOVIE_RATING;MOVIE_RUNTIME;MOVIE_YEAR;PERSON_DOB;PERSON_NAME;PERSON_POB;MID;REV
;CFY;Harvey;;104;1950;1886-01-03;Josephine Hull;Newtonville, Massachusetts, USA;d9e6a7ae2363d6cfe81af75a3912acb2;1-5a6e11a31c66c2c596eb5e543e6fdc0d
;DR;Place in the Sun, A;;122;1951;1923-02-07;Keefe Brasselle;Elyria, Ohio, USA;d9e6a7ae2363d6cfe81af75a391642aa;1-4e602d2e3a13e8b1fdfd8369a55d5647
;D;V.I.P.s, The;;119;1963;1892-05-11;Margaret Rutherford;Balham, London, England, UK;d9e6a7ae2363d6cfe81af75a391d73dc;1-c2cdedd8e9f04099c901e2eee8a6f06e
;DR;How Green Was My Valley;;118;1941;1920-08-17;Maureen O'Hara;Ranelagh, County Dublin, Ireland (now Ranelagh, Dublin, Ireland);d9e6a7ae2363d6cfe81af75a391fea1c;1-ef514ab30bf8d9275c54370302b10446
;DR;Rose Tattoo, The;;117;1955;1932-06-19;Marisa Pavan;Cagliari, Sardinia, Italy;d9e6a7ae2363d6cfe81af75a391db406;1-2983d3ab4f55ea07d177e7c2dbc93819
;CDFYR;Miracle on 34th Street;;96;1947;1920-08-17;Maureen O'Hara;Ranelagh, County Dublin, Ireland (now Ranelagh, Dublin, Ireland);d9e6a7ae2363d6cfe81af75a391ff689;1-30d4acafcf0a317415ee359d9c9b27dc
;D;Barefoot Contessa, The;;128;1954;1912-05-23;Marius Goring;Newport, Isle of Wight, England, UK;d9e6a7ae2363d6cfe81af75a391dd46b;1-77286c4fd331cc94dca8a09e79c590be
;CD;Min and Bill;;66;1930;1889-07-15;Marjorie Rambeau;San Francisco, California, USA;d9e6a7ae2363d6cfe81af75a391dd5cd;1-a950626a2133d5fa4076bdadb3186889
;D;None But the Lonely Heart;;113;1944;1918-05-14;June Duprez;Teddington, Middlesex, England, UK;d9e6a7ae2363d6cfe81af75a391469e4;1-f14659f72c8246e95a6b8e0b36ec3ae1
;D;Judgment at Nuremberg;;178;1961;1901-12-27;Marlene Dietrich;Schoneberg, Germany;d9e6a7ae2363d6cfe81af75a391e38ba;1-7d924081c3e8a8351c406afef8c29c2e
;DR;Sayonara;;147;1957;1912-09-22;Martha Scott;Jamesport, Missouri, USA;d9e6a7ae2363d6cfe81af75a391e7f19;1-41aea0ba33cf139a4c1c62556680bf7d
;CDR;Thousand Clowns, A;;118;1965;1914-11-04;Martin Balsam;The Bronx, New York, USA;d9e6a7ae2363d6cfe81af75a391e957f;1-22296c011d8cce43ad5a51e0196e1992
;D;Bad and the Beautiful, The;;118;1952;1916-12-09;Kirk Douglas;Amsterdam, New York, USA;d9e6a7ae2363d6cfe81af75a3917b660;1-23beb63ce4da0922b2f0d046da3dd055
;DHT;Rosemary's Baby;;136;1968;1945-02-09;Mia Farrow;Los Angeles, California, USA;d9e6a7ae2363d6cfe81af75a39213cbf;1-1140e3e9e0a03f3541c8d7e5c676226d
;VNCF;Horton Hears a Who!;;88;2008;1962-08-16;Steve Carell;Concord, Massachusetts, USA;d9e6a7ae2363d6cfe81af75a393644c3;1-9a8ab26c6d5d48be302fbbb469235c93
;D;Private Life of Henry VIII., The;;97;1933;1874-05-16;Laurence Hanray;London, England, UK;d9e6a7ae2363d6cfe81af75a3918fe38;1-85d1c3f47e19bdb4022952d7ae3ee7bb
;D;BUtterfield 8;;109;1960;1928-10-01;Laurence Harvey;Jonischkis, Lithuania;d9e6a7ae2363d6cfe81af75a39191f40;1-eb2a38be2269e8c15fced76f11bb0b55
;CDR;Fortune Cookie, The;;125;1966;1938-10-29;Ron Rich;Pittsburgh, Pennsylvania, USA;d9e6a7ae2363d6cfe81af75a39310e55;1-b88bcd2f3d3141c0aebfbe97d2c74488
;D;I Want to Live!;;120;1958;1918-06-30;Susan Hayward;Brooklyn, New York, USA;d9e6a7ae2363d6cfe81af75a3936d0fa;1-4758c1f1ce71277abfa1221219c0f90a
;DRT;Hamlet;;155;1948;1907-05-22;Laurence Olivier;Dorking, Surrey, England, UK;d9e6a7ae2363d6cfe81af75a39192300;1-c6426bcd0a9a11ebac01fa7ea880c793
;D;Double Life, A;;104;1947;1891-02-09;Ronald Colman;Richmond, Surrey, England, UK;d9e6a7ae2363d6cfe81af75a393124de;1-7e34216ddf90c06f893c2d5b12c55967
;CR;Two Arabian Knights;;90;1927;1885-01-01;Michael Vavitch;Odessa, Ukraine, Russian Empire. [now independent Ukraine];d9e6a7ae2363d6cfe81af75a39225c25;1-d741bc858795b9fb368e9c57445512d3
;D;Song of Bernadette, The;;156;1943;1911-12-08;Lee J. Cobb;New York, New York, USA;d9e6a7ae2363d6cfe81af75a391966ba;1-b7f3be0893e6bd0785865c600716e3e7
;C;Farmer's Daughter, The;;97;1947;1906-05-01;Rose Hobart;New York, New York, USA;d9e6a7ae2363d6cfe81af75a39318bc5;1-55522eebd966c2f347c01b82634df798
;DW;Diary of Anne Frank, The;;180;1959;1938-05-12;Millie Perkins;Passaic, New Jersey, USA;d9e6a7ae2363d6cfe81af75a39232381;1-0254446c5ebf2426bcf2ffad5872f6a2
;DR;Heiress, The;;115;1949;1902-10-18;Miriam Hopkins;Bainbridge, Georgia, USA;d9e6a7ae2363d6cfe81af75a39237c36;1-42bab50b9ad940b3e8d9f3fe360ab556
;DRW;Mrs. Miniver;;134;1942;1918-10-27;Teresa Wright;New York, New York, USA;d9e6a7ae2363d6cfe81af75a3937a390;1-e6e7fd577d3d3d64002a7fe4a50ccc21
;CDF;Skippy;;85;1931;1920-10-22;Mitzi Green;The Bronx, New York, USA;d9e6a7ae2363d6cfe81af75a3923a7a6;1-fa39e4691757828de924d8290261486d
;DR;Sayonara;;147;1957;1929-04-03;Miyoshi Umeki;Otaru, Hokkaido, Japan;d9e6a7ae2363d6cfe81af75a3923b16e;1-5cd3a3cc7a2e41c946aa514239ed6db9
;D;I Want to Live!;;120;1958;1924-05-02;Theodore Bikel;Vienna, Austria;d9e6a7ae2363d6cfe81af75a393806b3;1-a45fe1b92358e3d5cf41577761f3f63d
